Date,Type,Value
2024-04-14 10:00:00,nutrition_calories,1846.13408
2024-10-18 10:00:00,nutrition_calories,1768.3541
2024-04-24 10:00:00,nutrition_calories,1772.54747
2024-04-04 10:00:00,nutrition_calories,827.88
2024-05-24 10:00:00,nutrition_calories,230.0
2024-05-14 10:00:00,nutrition_calories,1002.45857
2024-05-04 10:00:00,nutrition_calories,2424.77709
2024-06-03 10:00:00,nutrition_calories,424.4
2024-04-07 10:00:00,nutrition_calories,2239.7897
2024-10-21 10:00:00,nutrition_calories,209.0
2024-04-21 10:00:00,nutrition_calories,1351.0171
2024-05-11 10:00:00,nutrition_calories,2188.79337
2024-05-01 10:00:00,nutrition_calories,2014.37714
2024-04-11 10:00:00,nutrition_calories,2201.25444
2024-05-21 10:00:00,nutrition_calories,527.75854
2024-04-18 10:00:00,nutrition_calories,1776.61596
2024-04-08 10:00:00,nutrition_calories,2006.66635
2024-10-19 10:00:00,nutrition_calories,1148.62
2024-05-08 10:00:00,nutrition_calories,2332.383
2024-04-28 10:00:00,nutrition_calories,2032.3471
2024-05-28 10:00:00,nutrition_calories,1910.4
2024-05-18 10:00:00,nutrition_calories,1295.0
2024-05-02 10:00:00,nutrition_calories,2135.977
2024-04-22 10:00:00,nutrition_calories,1532.8171
2024-05-22 10:00:00,nutrition_calories,209.0
2024-05-12 10:00:00,nutrition_calories,1858.24337
2024-04-12 10:00:00,nutrition_calories,1176.46
2024-06-01 10:00:00,nutrition_calories,1680.00856
2024-05-05 10:00:00,nutrition_calories,2058.7971
2024-04-25 10:00:00,nutrition_calories,1906.2475
2024-04-15 10:00:00,nutrition_calories,1936.66
2024-04-05 10:00:00,nutrition_calories,651.0
2024-07-24 10:00:00,nutrition_calories,410.0
2024-05-25 10:00:00,nutrition_calories,1993.07835
2024-05-15 10:00:00,nutrition_calories,1105.82
2024-06-04 10:00:00,nutrition_calories,808.4931
2024-04-19 10:00:00,nutrition_calories,1413.75
2024-04-09 10:00:00,nutrition_calories,2214.81725
2024-04-29 10:00:00,nutrition_calories,1537.4871
2024-05-19 10:00:00,nutrition_calories,1309.42856
2024-05-09 10:00:00,nutrition_calories,1978.37705
2024-06-08 10:00:00,nutrition_calories,1045.07856
2024-05-29 10:00:00,nutrition_calories,1854.1199
2024-05-16 10:00:00,nutrition_calories,2044.00857
2024-05-06 10:00:00,nutrition_calories,2535.74496
2024-04-26 10:00:00,nutrition_calories,1764.96
2024-04-16 10:00:00,nutrition_calories,1588.7241
2024-04-06 10:00:00,nutrition_calories,223.0
2024-05-26 10:00:00,nutrition_calories,1877.27835
2024-04-13 10:00:00,nutrition_calories,1966.31426
2024-04-03 10:00:00,nutrition_calories,230.0
2024-05-13 10:00:00,nutrition_calories,1952.73707
2024-05-03 10:00:00,nutrition_calories,2097.3281
2024-04-23 10:00:00,nutrition_calories,1354.92
2024-05-23 10:00:00,nutrition_calories,2401.0368
2024-08-01 10:00:00,nutrition_calories,200.0
2024-04-27 10:00:00,nutrition_calories,1958.11497
2024-05-27 10:00:00,nutrition_calories,1219.52
2024-05-17 10:00:00,nutrition_calories,1871.17857
2024-05-07 10:00:00,nutrition_calories,1940.66604
2024-04-17 10:00:00,nutrition_calories,2014.14867
2024-04-20 10:00:00,nutrition_calories,998.7586
2024-04-30 10:00:00,nutrition_calories,2034.78855
2024-04-10 10:00:00,nutrition_calories,2048.42208
2024-05-30 10:00:00,nutrition_calories,1917.57856
2024-05-20 10:00:00,nutrition_calories,891.10854
2024-05-10 10:00:00,nutrition_calories,1796.97705
2024-06-09 10:00:00,nutrition_calories,446.0
2018-06-16 00:00:00,weight,94.4
2024-04-15 00:00:00,weight,82.8999
2023-11-22 00:00:00,weight,85.0
2024-04-06 00:00:00,weight,83.000145
2017-05-09 00:00:00,weight,101.5
2024-03-22 00:00:00,weight,84.4
2020-09-04 00:00:00,weight,95.5
